"Intensity"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"LFQ intensity QC02_210326"	"LFQ intensity QC02_210331"	"LFQ intensity QC02_210402"	"LFQ intensity QC02_210406"	"LFQ intensity QC02_210410"	"LFQ intensity QC02_210411"	"Identification type QC02_210326"	"Identification type QC02_210331"	"Identification type QC02_210402"	"Identification type QC02_210406"	"Identification type QC02_210410"	"Identification type QC02_210411"	"Protein IDs"	"Peptides"	"Peptides QC02_210326"	"Peptides QC02_210331"	"Peptides QC02_210402"	"Peptides QC02_210406"	"Peptides QC02_210410"	"Peptides QC02_210411"	"Reverse"	"Only identified by site"	"Potential contaminant"	"Sequence coverage [%]"	"Sequence length"
2.2829e+10	2528500000	2889500000	2327500000	5449300000	5031400000	4.603e+09	247360000	2.37e+08	278410000	269920000	274810000	264060000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P22314"	44	43	41	36	39	39	42	NA	NA	NA	54.1	1058
82369000	11749000	13131000	8152400	19677000	15198000	14462000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P01893"	5	4	3	4	3	5	4	NA	NA	NA	18.8	362
389130000	48729000	43386000	43336000	88620000	79101000	85960000	8109100	8256000	8202700	7258800	6050300	7936400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q86TC9"	23	16	13	17	16	20	16	NA	NA	NA	25.6	1320
67292000	11128000	10524000	5182300	20431000	7901200	12126000	7151800	5567000	0	6430300	0	0	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q16595"	2	2	2	1	2	1	1	NA	NA	NA	13.3	210
147890000	15100000	16048000	2162700	45696000	24500000	44379000	7203000	13552000	0	7521700	5000400	7080100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NRX2"	7	4	3	1	5	5	6	NA	NA	NA	38.9	175
110090000	11155000	15174000	6291300	29333000	22773000	25359000	4185900	4796200	5680400	4785600	4177700	4485000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q86TB9"	7	6	6	3	7	5	7	NA	NA	NA	13.8	770
1.7152e+10	1929600000	2614400000	1717600000	4016500000	3117600000	3756700000	193470000	200090000	206500000	213480000	185470000	212050000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P14625;Q58FF3"	32	32	32	31	31	32	31	NA	NA	NA	47.1	803
136460000	18107000	22725000	14971000	27559000	24259000	28838000	5664500	5503500	6417900	6219100	7304100	5837100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NW64"	8	6	6	6	4	5	5	NA	NA	NA	24.5	420
720690000	66847000	113830000	71976000	209800000	163130000	95110000	31693000	34405000	33242000	34178000	53478000	28365000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P37198"	9	8	9	8	9	7	6	NA	NA	NA	31.2	522
2010800000	2.2e+08	251060000	185150000	505380000	418230000	430940000	30810000	30055000	32374000	36261000	44246000	36574000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y678"	33	28	27	25	28	22	29	NA	NA	NA	48.4	874
526150000	59186000	59945000	38801000	144170000	101830000	122220000	15414000	14917000	15585000	17813000	22323000	16188000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NQT5"	11	9	8	8	9	9	9	NA	NA	NA	65.5	275
358710000	33229000	43939000	34183000	82542000	86769000	78047000	8531300	8305400	9378800	9385700	8935200	8608100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y5K6"	14	10	11	10	11	12	12	NA	NA	NA	28.6	639
3.7506e+10	4152500000	4709700000	3753400000	8759100000	7786600000	8345100000	512080000	481130000	526730000	539300000	491830000	522440000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"CON__P08729;P19013;Q14CN4;CON__Q14CN4-1;CON__Q6NXH9;CON__P19013"	33	31	26	24	30	29	30	NA	NA	"+"	62.9	469
907320000	98944000	130560000	99763000	227770000	141650000	208630000	19949000	22087000	22522000	21415000	18042000	21963000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14165"	11	10	10	11	11	9	10	NA	NA	NA	45.5	292
1682800	1682800	0	0	0	0	0	0	0	0	0	0	0	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"Q6N069"	5	4	3	2	4	2	4	NA	"+"	NA	5.6	864
122900000	8490500	67287000	10650000	0	17060000	19414000	0	47218000	0	0	21083000	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"Q6Y1H2"	2	1	2	2	0	2	1	NA	NA	NA	8.7	254
1899400000	231600000	258060000	206490000	467620000	305980000	429670000	35788000	33520000	37856000	37738000	44415000	36364000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53618"	29	24	22	23	25	19	26	NA	NA	NA	42.4	953
23112000	2943500	2990200	1793000	6682200	3774500	4929000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8N6L1"	1	1	1	1	1	1	1	NA	NA	NA	12.5	136
152390000	14777000	19085000	16248000	37654000	31971000	32657000	5858200	6979500	8427300	7459600	11417000	7878900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P61421"	7	4	5	5	5	7	5	NA	NA	NA	27.9	351
231780000	30535000	27528000	23521000	58227000	51602000	40371000	10652000	14462000	11659000	10864000	12224000	11870000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53007"	5	5	3	4	5	4	3	NA	NA	NA	17.7	311
383080000	43868000	39287000	18471000	101260000	89118000	91077000	12464000	10863000	10626000	12484000	13242000	12759000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P09104"	14	11	10	9	13	12	12	NA	NA	NA	52.3	434
1367700000	153630000	144250000	142690000	340470000	271650000	315010000	16012000	18079000	17974000	17895000	18213000	17439000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P78344"	30	26	21	24	24	23	29	NA	NA	NA	40.1	907
33565000	1210100	2163100	7877100	8133500	6839200	7341700	0	0	3695000	3247600	2157000	2976300	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60671"	4	1	1	4	2	3	2	NA	NA	NA	23.4	282
91426000	13281000	5445000	2624500	21586000	26191000	22298000	3371300	2593200	2194300	3711500	4438400	3487900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WWH5"	8	6	2	3	4	7	5	NA	NA	NA	30.9	349
383160000	34187000	56874000	41176000	78590000	68227000	104110000	12736000	11710000	12867000	15028000	10497000	12108000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96EY1"	9	7	8	8	8	8	9	NA	NA	NA	25.8	480
789820000	88255000	115770000	84429000	160420000	169910000	171040000	33175000	31466000	35979000	29298000	26361000	32894000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P01889;P13747"	7	6	5	6	5	7	6	NA	NA	NA	24	362
18984000	2620300	4936300	4060900	6022600	0	1343800	2420700	2483700	2705500	2834200	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"Q75QN2"	3	2	3	3	2	0	1	NA	NA	NA	4.4	995
8252800	0	1205800	1232900	0	3410000	2404200	0	0	0	0	0	0	"By matching"	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"Q9HCK8"	4	1	1	1	1	2	2	NA	NA	NA	2.4	2581
67485000	13434000	7367000	7758300	15674000	9767100	13484000	4447800	3986200	4980800	5210800	3086500	4066300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P49366"	5	5	3	3	3	3	4	NA	NA	NA	18.2	369
1555100000	178130000	199420000	146090000	390070000	277660000	363720000	23770000	23049000	24571000	25873000	25879000	23627000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NSD9"	23	19	21	19	21	17	22	NA	NA	NA	46.9	589
472730000	45124000	45451000	57736000	108530000	114300000	101590000	19601000	19752000	24720000	22695000	21183000	24203000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60925"	5	4	4	4	4	5	4	NA	NA	NA	32	122
74362000	12489000	9363900	3556800	19830000	21129000	7993900	4661000	4802800	3498300	3575600	5352600	2559100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O94903"	5	4	2	2	5	5	3	NA	NA	NA	23.3	275
2.737e+09	302820000	339920000	295410000	684610000	490910000	623330000	69206000	67599000	77136000	73646000	63519000	73488000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O43399"	13	12	12	13	12	12	12	NA	NA	NA	66.5	206
38125000	8418500	1753200	781980	15906000	4534000	6731000	3540100	0	0	2918200	0	2815200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6P9B9"	4	3	2	1	4	2	2	NA	NA	NA	5.1	1019
162870000	16031000	16076000	16660000	37123000	41210000	35775000	4497400	4253400	5801600	5708700	6997500	5457400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y5X1"	8	6	7	6	6	7	6	NA	NA	NA	19.2	595
89058000	13527000	15498000	6707400	25628000	10656000	17041000	6600400	6386900	6486700	7011400	5712300	5446700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q86WR0"	4	3	3	2	3	3	4	NA	NA	NA	20.7	208
719350000	96183000	77329000	49479000	196980000	137570000	161810000	16649000	17258000	17126000	16999000	15294000	17382000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14254"	14	13	9	10	13	11	10	NA	NA	NA	38.1	428
76181000	7267700	6530800	7472600	23767000	12675000	18467000	2249300	2096900	3210600	2993600	3707900	2389000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q7LBC6"	9	6	4	5	8	4	7	NA	NA	NA	8.3	1761
144230000	22448000	16633000	7889300	34226000	25703000	37330000	6028200	5029600	4745000	6108000	4607900	5632600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9H089"	11	9	6	4	8	7	7	NA	NA	NA	20.2	658
9841900000	1214100000	1458900000	881980000	2334600000	1597400000	2354900000	452730000	456450000	474020000	480550000	379780000	456550000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P26373"	10	9	6	6	8	10	9	NA	NA	NA	39.3	211
37874000	4975400	1137800	897990	8188700	4547100	18127000	4713200	0	0	4354400	0	4021200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6P158"	6	4	2	2	4	2	4	NA	NA	NA	6	1386
146600000	11546000	12083000	8088700	31960000	47704000	35216000	6582700	5650600	6854300	7692600	14235000	9425000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O14734"	6	4	4	3	5	6	6	NA	NA	NA	20.1	319
93621000	7836200	12267000	8868500	25628000	15530000	23492000	3472900	3899700	4164000	4501000	3734300	4434300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WVX9"	6	3	5	5	6	4	6	NA	NA	NA	14.6	515
738910000	82201000	75263000	60593000	185670000	125450000	209730000	22616000	24767000	23915000	26730000	26816000	28757000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UMY4"	9	6	6	8	7	7	9	NA	NA	NA	61.1	162
522500000	60805000	60346000	51762000	138920000	104230000	106440000	11788000	11154000	13499000	13275000	11103000	12478000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P21127;Q9UQ88"	20	14	13	12	15	16	12	NA	NA	NA	27.9	795
572210000	63799000	72982000	64136000	147860000	94573000	128860000	10088000	9066500	9929600	10236000	13306000	10452000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8NI27"	28	22	21	19	24	16	24	NA	NA	NA	21.6	1593
177200000	16269000	24812000	14614000	29490000	56978000	35042000	14425000	14464000	18971000	16038000	23749000	18205000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9GZP8"	2	2	2	2	2	2	2	NA	NA	NA	25.5	106
72036000	6491800	11986000	6874100	11697000	21151000	13837000	3484400	4110300	4406700	4072400	4607300	4127400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q13111"	7	3	5	4	3	5	3	NA	NA	NA	11.7	956
70897000	8287500	5169300	4390900	20935000	13422000	18692000	4910300	4924000	0	6508700	5228800	6016800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q15904"	4	4	3	1	3	2	3	NA	NA	NA	11.3	470
38162000	4388400	1600000	1585900	8353600	8205700	14028000	1890700	0	0	2846600	2202400	2892200	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q03393"	3	3	1	1	2	3	3	NA	NA	NA	20.7	145
1057500000	133270000	152350000	115870000	267310000	233760000	154920000	65174000	63240000	78073000	78870000	134440000	64918000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P28072"	6	6	6	5	4	6	6	NA	NA	NA	40.2	239
9079000	1788300	1872800	1341800	4076100	0	0	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	NA	"A5PLN9"	1	1	1	1	1	0	0	NA	NA	NA	5	417
601680000	75466000	81126000	57828000	140430000	94941000	151890000	11494000	11207000	12058000	11121000	11102000	13081000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q99567"	16	16	13	13	14	11	14	NA	NA	NA	30	741
220070000	24857000	17643000	17199000	49816000	49538000	61013000	5578900	5028900	5607400	5563200	5814000	5463200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95155"	15	10	6	8	12	10	14	NA	NA	NA	20.9	1302
308710000	32251000	41789000	30463000	73477000	40488000	90242000	8826500	9639800	9946800	9603800	8746800	9271200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6PJT7"	18	12	11	10	13	9	16	NA	NA	NA	37.9	736
161730000	21718000	20317000	15875000	43928000	18434000	41456000	7868800	9924400	8179200	8116000	4710500	8055400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75935"	5	4	3	3	4	4	4	NA	NA	NA	30.1	186
351180000	35858000	37478000	33303000	76737000	97827000	69976000	8171400	7868000	7901200	8919700	10686000	7687600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O43491;Q9Y2J2"	21	14	11	12	13	17	15	NA	NA	NA	29.8	1005
7722800	664980	793670	1470100	1624100	0	3170000	0	0	1176100	0	0	1129300	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	NA	"By MS/MS"	"P32780"	2	1	1	2	1	0	2	NA	NA	NA	7.1	548
14294000	1218600	1434300	2399800	2773600	1670400	4797700	0	0	0	0	0	0	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NXG6"	2	1	1	2	1	1	2	NA	NA	NA	6.2	502
477690000	48475000	41766000	50155000	121690000	98218000	117380000	15163000	14203000	17472000	15551000	14727000	16998000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"CON__ENSEMBL:ENSBTAP00000006074;P49747"	13	10	9	10	12	11	12	NA	NA	"+"	28.9	747
2.8346e+10	3041900000	3230800000	3.054e+09	6169900000	6447900000	6401500000	911820000	920980000	915280000	778660000	997090000	959870000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P07737"	10	10	10	10	10	10	10	NA	NA	NA	87.9	140
252340000	37618000	34230000	22393000	58301000	49437000	50365000	11313000	10099000	12929000	13095000	10583000	10835000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53990"	9	8	8	5	7	7	6	NA	NA	NA	42.9	364
161300000	33788000	12691000	27149000	32674000	14452000	40549000	12784000	5680200	19089000	11308000	11116000	11495000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"CON__P02070;P69892;P69891;P02100"	8	8	7	6	7	7	8	NA	NA	"+"	53.8	145
332150000	39430000	45055000	35852000	77220000	64019000	70578000	7655700	7791300	8805900	8450700	8218800	7916100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P11216"	18	16	12	16	16	15	17	NA	NA	NA	27.4	843
1.2932e+11	1.4898e+10	1.6586e+10	1.193e+10	3.2914e+10	2.4786e+10	2.8209e+10	5.254e+09	4.867e+09	5216100000	5601900000	4668600000	5207900000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62805"	11	11	9	10	10	11	11	NA	NA	NA	63.1	103
1249600000	137950000	162440000	125020000	309320000	222130000	292740000	19623000	20427000	19665000	21261000	17228000	20952000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q16666;Q6K0P9"	26	20	21	20	20	21	22	NA	NA	NA	39.4	785
287470000	37289000	26538000	30815000	80698000	59263000	52864000	12754000	11241000	11670000	12561000	12237000	12462000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P13995"	8	5	4	5	5	6	5	NA	NA	NA	30.9	350
166720000	15833000	15701000	28243000	41586000	30231000	35123000	8019000	7815800	8167800	9375700	7505500	8452600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95302;Q75LS8"	9	5	4	5	5	6	6	NA	NA	NA	19.8	570
309040000	36458000	32201000	15959000	79561000	63951000	80911000	11394000	10562000	10543000	11608000	14434000	14690000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O00151"	11	7	7	5	8	9	10	NA	NA	NA	62.3	329
1040900000	100270000	122820000	96116000	261200000	209370000	251110000	39531000	52048000	46441000	52009000	53189000	55405000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UK76"	9	8	8	7	7	7	7	NA	NA	NA	69.5	154
5.695e+09	715670000	799870000	593110000	1405800000	936410000	1244200000	103430000	101740000	106520000	118220000	9e+07	111120000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P00505"	22	20	20	18	19	20	19	NA	NA	NA	51.4	430
116860000	9217400	46338000	5170600	24812000	9438600	21879000	9226700	10998000	14810000	10315000	5911900	12116000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UBB5"	5	2	5	2	3	3	3	NA	NA	NA	16.1	411
152740000	15719000	24643000	12889000	33199000	29703000	36586000	6839200	6630300	8761600	8970800	7133100	7781300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q4G0J3"	9	6	6	5	4	6	6	NA	NA	NA	19.2	582
906420000	115390000	129430000	94981000	216320000	162870000	187440000	34415000	29127000	30136000	28185000	24756000	30817000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UN86"	11	10	9	10	11	10	10	NA	NA	NA	29.9	482
107240000	12770000	13225000	13784000	20835000	24850000	21773000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"CON__Q9DCV7"	9	8	5	7	8	9	7	NA	NA	"+"	17.1	457
459920000	55218000	68033000	31999000	105560000	87526000	111580000	10274000	9346800	11935000	12282000	9645200	10490000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9HC35"	19	14	16	8	10	12	15	NA	NA	NA	26.5	981
135790000	12321000	11937000	10748000	34547000	43287000	22949000	3712100	5186400	4385200	5138600	8292900	4755500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y6I3"	9	6	4	5	7	5	7	NA	NA	NA	26.2	576
378020000	39127000	44042000	22482000	69309000	126160000	76898000	17823000	17544000	20906000	19802000	17404000	18510000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14151"	17	15	14	12	13	14	14	NA	NA	NA	23.7	953
80335000	7681100	11528000	5785100	22774000	14978000	17589000	4585900	3591100	4879100	4714800	4569300	5927900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8IYI6"	7	4	5	2	5	4	4	NA	NA	NA	16.7	725
246170000	28610000	26606000	26296000	61656000	48479000	54522000	9123600	7921500	9515600	10697000	10833000	8905900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q92747"	12	7	6	6	8	10	8	NA	NA	NA	45.1	370
2546300	0	587550	0	0	1958700	0	0	0	0	0	0	0	NA	"By MS/MS"	NA	NA	"By MS/MS"	"By MS/MS"	"Q3KQU3"	1	0	1	0	0	1	1	NA	NA	NA	1.9	841
41372000	5943200	3057900	1317500	13717000	7581500	9754900	2982900	0	0	3703400	3154600	3923400	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BQ04"	15	14	10	10	14	12	13	NA	NA	NA	49.6	359
54537000	4292800	9688500	7647500	11726000	8269000	12913000	3098600	3606700	3920300	3450300	2444300	3833500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q7L4I2"	3	2	3	3	2	3	2	NA	NA	NA	11.5	434
4301900000	523770000	431140000	321300000	1017800000	1036500000	971390000	94377000	81157000	81753000	93412000	106280000	95541000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P42330;P17516"	16	16	15	12	15	15	15	NA	NA	NA	63.5	323
19722000	0	2890900	2470300	5504000	3910100	4946500	0	0	3219000	2682000	0	2882700	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6UXH1"	2	0	1	2	2	1	2	NA	NA	NA	8.2	353
697550000	64190000	88005000	73612000	175230000	95641000	200870000	20005000	21843000	22649000	22322000	17813000	23301000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P35250"	18	14	12	14	12	12	17	NA	NA	NA	61.9	354
68687000	2679000	32686000	2901900	11098000	5474500	13848000	6062800	8421900	0	7058700	5237200	7675200	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P26374"	5	2	4	1	3	2	4	NA	NA	NA	11	656
23262000	0	4215400	0	5022600	9221400	4802200	0	2471600	0	0	4025400	0	NA	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53602"	2	0	2	0	1	2	1	NA	NA	NA	7.5	400
464700000	53075000	52809000	47450000	106020000	107800000	97544000	14588000	16703000	16342000	15759000	11745000	13945000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y5X3"	14	11	11	10	12	9	12	NA	NA	NA	40.3	404
2.363e+09	265580000	324390000	188690000	621190000	406810000	556350000	43449000	45737000	42092000	52530000	41197000	45815000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P22087"	12	11	11	11	10	9	12	NA	NA	NA	36.1	321
88454000	7184500	16634000	8254800	17850000	16307000	22224000	3912000	4776900	5831600	4683100	4834300	5023400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BTX1"	8	4	5	4	6	4	5	NA	NA	NA	19.9	674
103270000	9391300	14052000	10328000	25022000	20366000	24106000	6980900	6881700	5787800	6250300	9694900	6487800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q12933"	7	5	4	5	4	4	6	NA	NA	NA	17.6	501
10317000	2563300	0	1636300	3244800	0	2872700	0	0	0	0	0	0	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y5X2"	1	1	0	1	1	1	1	NA	NA	NA	2.8	465
216280000	27452000	40503000	22122000	49594000	24962000	51649000	7279900	8509600	7593400	7425800	7051100	8568300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P10398"	11	8	8	8	7	7	7	NA	NA	NA	24.6	606
26045000	0	0	0	8826200	10383000	6835600	0	0	0	0	0	0	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P29992;O95837"	6	4	5	3	4	3	5	NA	NA	NA	18.7	359
81325000	7472600	12037000	7709500	16521000	18635000	18950000	4532100	5917300	4158900	4350800	3997800	4834700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P82909"	5	4	3	3	4	5	5	NA	NA	NA	57.3	103
